1	1
2	1
3	1
4	1
5	1
6	2
7	1
8	2
9	2
10	4
11	1
12	1
13	3
14	2
15	2
16	4
17	2
18	1
19	3
20	3
21	1
22	1
23	2
24	1
25	1
26	1
27	3
28	1
29	2
30	1
31	1
32	3
33	2
34	1
35	1
36	6
37	4
38	1
39	1
40	2
41	4
42	3
43	1
44	1
45	1
46	1
47	3
48	1
49	4
50	8
51	1
52	1
53	1
54	2
55	1
56	5
57	4
58	3
59	1
60	5
61	1
62	4
63	2
64	3
65	1
66	1
67	4
68	1
69	1
70	1
71	2
72	4
73	1
74	3
75	1
76	2
77	1
78	7
79	1
80	6
81	2
82	5
83	5
84	1
85	4
86	1
87	2
88	2
89	1
90	3
91	2
92	11
93	1
94	1
95	7
96	3
97	1
98	2
99	5
100	3
101	3
102	2
103	1
104	1
105	1
106	6
107	6
108	3
109	1
110	2
111	1
112	2
113	8
114	1
115	4
116	3
117	1
118	4
119	2
120	4
121	4
122	6
123	1
124	2
125	1
126	3
127	1
128	4
129	2
130	6
131	2
132	4
133	8
134	5
135	4
136	1
137	12
138	14
139	2
140	6
141	3
142	4
143	4
144	1
145	2
146	2
147	6
148	7
149	3
150	4
151	3
152	1
153	15
154	4
155	11
156	8
157	2
158	2
159	3
160	1
161	6
162	30
163	1
164	2
165	5
166	2
167	1
168	3
169	2
170	10
171	10
172	26
173	3
174	17
175	58
176	22
177	30
178	25
179	10
180	25
181	57
182	67
183	23
184	376
185	458
186	1
187	5
188	2
189	8
190	3
191	532
